latitude,longitude,lap,timestamp,heart_rate,cadence,speed
38.033142294734716,-78.51421605795622,1,2022-09-03 21:13:01+00:00,151,73,6.731
38.03309979848564,-78.51423189975321,1,2022-09-03 21:13:03+00:00,151,74,6.695
38.033069875091314,-78.51424329914153,1,2022-09-03 21:13:04+00:00,151,73,6.631
38.03302176296711,-78.51424832828343,1,2022-09-03 21:13:05+00:00,151,73,6.606
38.033003909513354,-78.51423785090446,1,2022-09-03 21:13:06+00:00,150,72,6.518
38.032965855672956,-78.51424606516957,1,2022-09-03 21:13:07+00:00,150,72,6.473
38.0329807754606,-78.51424229331315,1,2022-09-03 21:13:08+00:00,150,72,6.378
38.0329583119601,-78.51424522697926,1,2022-09-03 21:13:09+00:00,150,73,6.3
38.032944817095995,-78.5142461489886,1,2022-09-03 21:13:10+00:00,150,73,6.204
38.03293140605092,-78.51426836103201,1,2022-09-03 21:13:11+00:00,150,73,6.129
38.032931573688984,-78.51426685228944,1,2022-09-03 21:13:12+00:00,150,73,6.009
38.03292453289032,-78.51426282897592,1,2022-09-03 21:13:13+00:00,149,73,5.906
38.03287994116545,-78.51430431939662,1,2022-09-03 21:13:14+00:00,149,73,5.911
38.03283216431737,-78.51432016119361,1,2022-09-03 21:13:15+00:00,148,72,5.903
38.03284716792405,-78.51431823335588,1,2022-09-03 21:13:16+00:00,148,72,5.819
38.032817244529724,-78.51431932300329,1,2022-09-03 21:13:17+00:00,149,72,5.769
38.03281397558749,-78.51430775597692,1,2022-09-03 21:13:18+00:00,149,72,5.675
38.03276720456779,-78.51434094831347,1,2022-09-03 21:13:19+00:00,150,73,5.681
38.03276728838682,-78.51436123251915,1,2022-09-03 21:13:20+00:00,150,72,5.603
38.03271926008165,-78.51434363052249,1,2022-09-03 21:13:21+00:00,150,73,5.602
38.032720182091,-78.51432401686907,1,2022-09-03 21:13:22+00:00,150,73,5.524
38.03269285708666,-78.51434706710279,1,2022-09-03 21:13:23+00:00,150,73,5.487
38.03265128284693,-78.51438788697124,1,2022-09-03 21:13:24+00:00,149,73,5.494
38.03259847685695,-78.5143983643502,1,2022-09-03 21:13:25+00:00,149,73,5.503
38.03256972692907,-78.51442753337324,1,2022-09-03 21:13:26+00:00,149,72,5.475
38.03254927508533,-78.5144311375916,1,2022-09-03 21:13:27+00:00,150,72,5.412
38.03253502584994,-78.51443029940128,1,2022-09-03 21:13:28+00:00,150,72,5.335
38.032547514885664,-78.51444211788476,1,2022-09-03 21:13:29+00:00,150,73,5.263
38.032518764957786,-78.5144707839936,1,2022-09-03 21:13:30+00:00,150,73,5.239
38.032510885968804,-78.51446382701397,1,2022-09-03 21:13:31+00:00,150,73,5.156
38.032487416639924,-78.51447137072682,1,2022-09-03 21:13:32+00:00,149,72,5.107
38.03247115574777,-78.51447748951614,1,2022-09-03 21:13:33+00:00,149,72,5.042
38.03245631977916,-78.5144866257906,1,2022-09-03 21:13:34+00:00,149,72,4.978
38.032443914562464,-78.51449802517891,1,2022-09-03 21:13:35+00:00,149,72,4.913
38.03242706693709,-78.51450607180595,1,2022-09-03 21:13:36+00:00,149,72,4.855
38.032405860722065,-78.51451110094786,1,2022-09-03 21:13:37+00:00,149,72,4.806
38.03238029591739,-78.51452317088842,1,2022-09-03 21:13:38+00:00,149,72,4.77
38.032354982569814,-78.51453264243901,1,2022-09-03 21:13:39+00:00,149,72,4.733
38.032326148822904,-78.5145447961986,1,2022-09-03 21:13:40+00:00,150,72,4.706
38.03230242803693,-78.51455728523433,1,2022-09-03 21:13:41+00:00,150,72,4.669
38.03228214383125,-78.51456684060395,1,2022-09-03 21:13:42+00:00,150,72,4.624
38.032261775806546,-78.51457446813583,1,2022-09-03 21:13:43+00:00,150,72,4.579
38.03223897702992,-78.51458846591413,1,2022-09-03 21:13:44+00:00,151,73,4.544
38.032212909311056,-78.51459986530244,1,2022-09-03 21:13:45+00:00,151,73,4.514
38.03219405002892,-78.51460590027273,1,2022-09-03 21:13:46+00:00,151,73,4.467
38.032176196575165,-78.51461604237556,1,2022-09-03 21:13:47+00:00,151,74,4.422
38.0321606900543,-78.51462316699326,1,2022-09-03 21:13:48+00:00,152,74,4.37
38.03214375860989,-78.51463129743934,1,2022-09-03 21:13:49+00:00,152,74,4.323
38.03211601451039,-78.51464185863733,1,2022-09-03 21:13:50+00:00,152,74,4.301
38.03209975361824,-78.51465032435954,1,2022-09-03 21:13:51+00:00,152,74,4.254
38.03209732286632,-78.5146557725966,1,2022-09-03 21:13:52+00:00,152,74,4.18
38.032081481069326,-78.5146660823375,1,2022-09-03 21:13:53+00:00,156,74,4.136
38.03205574862659,-78.51467966102064,1,2022-09-03 21:13:54+00:00,154,74,4.115
38.03203412331641,-78.51469525136054,1,2022-09-03 21:13:55+00:00,156,74,4.088
38.03201367147267,-78.51470832712948,1,2022-09-03 21:13:56+00:00,157,73,4.057
38.03198643028736,-78.51472173817456,1,2022-09-03 21:13:57+00:00,156,73,4.041
38.03196329623461,-78.51472961716354,1,2022-09-03 21:13:58+00:00,155,73,4.014
38.03193613886833,-78.51474118418992,1,2022-09-03 21:13:59+00:00,153,73,3.997
38.031911831349134,-78.5147509071976,1,2022-09-03 21:14:00+00:00,152,73,3.974
38.031879058107734,-78.51476188749075,1,2022-09-03 21:14:01+00:00,151,73,3.97
38.03184896707535,-78.51477521471679,1,2022-09-03 21:14:02+00:00,151,72,3.962
38.031831197440624,-78.51478787139058,1,2022-09-03 21:14:03+00:00,147,72,3.928
38.03181191906333,-78.51480052806437,1,2022-09-03 21:14:04+00:00,138,72,3.898
38.031799932941794,-78.51480714976788,1,2022-09-03 21:14:05+00:00,136,72,3.849
38.031793143600225,-78.51481075398624,1,2022-09-03 21:14:06+00:00,136,73,3.788
38.03177369758487,-78.51481838151813,1,2022-09-03 21:14:07+00:00,136,73,3.758
38.03176900371909,-78.51481268182397,1,2022-09-03 21:14:08+00:00,136,72,3.697
38.03176196292043,-78.51481041871011,1,2022-09-03 21:14:09+00:00,137,72,3.639
38.031742265447974,-78.51481175981462,1,2022-09-03 21:14:10+00:00,137,73,3.61
38.031722735613585,-78.51481352001429,1,2022-09-03 21:14:11+00:00,139,73,3.582
38.0316995177418,-78.51481838151813,1,2022-09-03 21:14:12+00:00,142,72,3.563
38.03167738951743,-78.51482592523098,1,2022-09-03 21:14:13+00:00,144,72,3.542
38.031653920188546,-78.51483874954283,1,2022-09-03 21:14:14+00:00,145,73,3.528
38.03163112141192,-78.51484671235085,1,2022-09-03 21:14:15+00:00,148,73,3.51
38.03160631097853,-78.51485542953014,1,2022-09-03 21:14:16+00:00,148,74,3.497
38.03157772868872,-78.51486490108073,1,2022-09-03 21:14:17+00:00,148,74,3.493
38.031554678454995,-78.51487127132714,1,2022-09-03 21:14:18+00:00,149,74,3.476
38.031531712040305,-78.5148785635829,1,2022-09-03 21:14:19+00:00,151,74,3.459
38.031511679291725,-78.51488954387605,1,2022-09-03 21:14:20+00:00,151,73,3.439
38.031492652371526,-78.51490035653114,1,2022-09-03 21:14:21+00:00,152,73,3.416
38.0314682610333,-78.51491385139525,1,2022-09-03 21:14:22+00:00,152,73,3.407
38.031444288790226,-78.5149232391268,1,2022-09-03 21:14:23+00:00,158,73,3.395
38.03142819553614,-78.51493053138256,1,2022-09-03 21:14:24+00:00,158,73,3.365
38.0314077436924,-78.51494452916086,1,2022-09-03 21:14:25+00:00,158,72,3.349
38.03139282390475,-78.51495383307338,1,2022-09-03 21:14:26+00:00,157,72,3.319
38.031378239393234,-78.51496665738523,1,2022-09-03 21:14:27+00:00,157,72,3.293
38.031355859711766,-78.51498073898256,1,2022-09-03 21:14:28+00:00,157,73,3.282
38.03133683279157,-78.5149890370667,1,2022-09-03 21:14:29+00:00,157,73,3.261
