Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 23, 2020, 4:17:21 PM",Kudos,Activity,3795985024
"Sep 20, 2020, 4:11:19 PM",Kudos,Activity,4084211181
"Sep 20, 2020, 4:11:26 PM",Kudos,Activity,4087452795
"Sep 20, 2020, 4:11:29 PM",Kudos,Activity,4081975503
"Sep 20, 2020, 4:11:37 PM",Kudos,Activity,4088241104
"Sep 20, 2020, 4:11:43 PM",Kudos,Activity,4084744547
"Sep 20, 2020, 4:11:50 PM",Kudos,Activity,4073650451
"Dec 13, 2020, 4:23:49 PM",Kudos,Activity,4462766058
"Dec 13, 2020, 4:24:09 PM",Kudos,Activity,4464660333
"Dec 17, 2020, 3:11:14 PM",Kudos,Activity,4481386294
"Dec 17, 2020, 3:11:16 PM",Kudos,Activity,4481122406
"Dec 27, 2020, 3:56:41 PM",Kudos,Activity,4516618060
"Dec 27, 2020, 3:56:53 PM",Kudos,Activity,4521249831
"Dec 27, 2020, 3:56:57 PM",Kudos,Activity,4521944511
"Jan 12, 2021, 2:38:38 PM",Kudos,Activity,4605870415
"Jan 12, 2021, 2:39:31 PM",Kudos,Activity,4605743294
"Jan 13, 2021, 2:21:59 AM",Kudos,Activity,4610807370
"Jan 13, 2021, 11:06:09 PM",Kudos,Activity,4615974236
"Jan 13, 2021, 11:06:12 PM",Kudos,Activity,4616537014
"Jan 15, 2021, 9:31:10 PM",Kudos,Activity,4622342959
"Feb 22, 2021, 9:54:29 PM",Kudos,Activity,4826057446
"Feb 26, 2021, 12:21:56 AM",Kudos,Activity,4849549671
"Feb 26, 2021, 12:22:04 AM",Kudos,Activity,4843824409
"Mar 26, 2021, 7:06:29 PM",Kudos,Activity,5004650389
"Mar 26, 2021, 7:06:39 PM",Kudos,Activity,5000050392
"Mar 26, 2021, 7:06:44 PM",Kudos,Activity,4996406004
"Mar 27, 2021, 10:19:08 PM",Kudos,Activity,5021455528
"Apr 5, 2021, 1:00:42 AM",Kudos,Activity,5070591108
"Apr 5, 2021, 1:00:54 AM",Kudos,Activity,5062137524
"Apr 8, 2021, 4:57:50 PM",Kudos,Activity,5085098029
"Apr 9, 2021, 8:12:10 PM",Kudos,Activity,5097025582
"Apr 9, 2021, 8:14:05 PM",Kudos,Post,15586000
"Apr 10, 2021, 3:56:36 PM",Kudos,Activity,5102261839
"Apr 10, 2021, 3:56:40 PM",Kudos,Activity,5102660957
"Apr 10, 2021, 5:30:45 PM",Kudos,Activity,5103248682
"Apr 15, 2021, 2:54:48 PM",Kudos,Activity,5126010414
"Apr 16, 2021, 11:48:06 AM",Kudos,Activity,5133530553
"Apr 19, 2021, 6:13:17 PM",Kudos,Activity,5154516922
"Apr 19, 2021, 6:13:19 PM",Kudos,Activity,5151899801
"Apr 19, 2021, 6:13:23 PM",Kudos,Activity,5143631918
"Apr 19, 2021, 6:14:15 PM",Kudos,Activity,5122687295
"Apr 19, 2021, 6:14:24 PM",Kudos,Activity,5149441761
"Apr 20, 2021, 5:26:01 PM",Kudos,Activity,5160346585
"Apr 29, 2021, 6:04:12 PM",Kudos,Activity,5213359097
"May 3, 2021, 8:55:03 PM",Kudos,Activity,5231806476
"May 3, 2021, 8:56:00 PM",Kudos,Activity,5232422400
"May 8, 2021, 6:58:28 PM",Kudos,Activity,5258716074
"May 8, 2021, 10:12:57 PM",Kudos,Activity,5264357208
"May 12, 2021, 4:44:53 PM",Kudos,Activity,5284878135
"May 13, 2021, 1:32:25 PM",Kudos,Activity,5286672328
"May 15, 2021, 9:58:04 PM",Kudos,Activity,5295410902
"May 15, 2021, 9:58:20 PM",Kudos,Activity,5296480179
"Jun 6, 2021, 5:08:48 PM",Kudos,Activity,5418340022
"Jul 5, 2021, 7:36:19 PM",Kudos,Activity,5573691569
"Jul 24, 2021, 1:50:46 PM",Kudos,Activity,5678580642
"Aug 2, 2021, 3:01:24 PM",Kudos,Activity,5724283308
"Sep 6, 2021, 9:46:41 PM",Kudos,Activity,5910154559
"Sep 6, 2021, 9:46:42 PM",Kudos,Activity,5910242214
"Sep 9, 2021, 2:01:18 AM",Kudos,Activity,5929212012
"Sep 9, 2021, 2:01:22 AM",Kudos,Activity,5926931264
"Sep 9, 2021, 2:01:26 AM",Kudos,Activity,5929095570
"Sep 10, 2021, 3:52:10 PM",Kudos,Activity,5931631927
"Sep 10, 2021, 3:53:07 PM",Kudos,Activity,5937168983
"Sep 14, 2021, 1:54:11 AM",Kudos,Activity,5949030220
"Sep 14, 2021, 1:54:26 AM",Kudos,Activity,5948035507
"Sep 21, 2021, 4:24:18 AM",Kudos,Activity,5992840110
"Sep 21, 2021, 4:24:42 AM",Kudos,Activity,5980090749
"Sep 26, 2021, 9:19:44 PM",Kudos,Activity,6017480217
"Sep 26, 2021, 9:20:09 PM",Kudos,Activity,6011565617
"Oct 1, 2021, 5:47:07 PM",Kudos,Activity,6046892838
"Oct 2, 2021, 3:45:50 AM",Kudos,Activity,6048742828
"Oct 2, 2021, 3:45:54 AM",Kudos,Activity,6048920195
"Oct 2, 2021, 3:46:29 AM",Kudos,Activity,6037165920
"Oct 4, 2021, 4:34:18 PM",Kudos,Activity,6058418109
"Oct 4, 2021, 4:34:27 PM",Kudos,Activity,6058270619
"Oct 4, 2021, 4:34:36 PM",Kudos,Activity,6059185804
"Oct 4, 2021, 4:35:14 PM",Kudos,Activity,6054843405
"Oct 4, 2021, 4:35:53 PM",Kudos,Activity,6058648329
"Oct 5, 2021, 4:57:37 AM",Kudos,Activity,6064890699
"Oct 5, 2021, 4:57:55 AM",Kudos,Activity,6063920037
"Oct 8, 2021, 8:05:43 PM",Kudos,Activity,6076933593
"Oct 8, 2021, 8:05:51 PM",Kudos,Activity,6083470654
"Oct 19, 2021, 2:09:24 AM",Kudos,Activity,6121624430
"Oct 19, 2021, 2:09:25 AM",Kudos,Activity,6121796090
"Oct 20, 2021, 6:49:22 PM",Kudos,Activity,6141182445
"Oct 20, 2021, 6:56:34 PM",Kudos,Post,18308949
"Oct 24, 2021, 4:58:20 PM",Kudos,Activity,6155158137
"Oct 24, 2021, 4:58:58 PM",Kudos,Activity,6155708758
"Oct 25, 2021, 6:21:51 PM",Kudos,Activity,6162443474
"Oct 25, 2021, 9:00:41 PM",Kudos,Activity,6166000302
